Categoria,Item,Status
Documentos,Passaporte válido (6+ meses),Pendente
Documentos,Visto Schengen (verificar necessidade),Pendente
Documentos,Seguro saúde internacional,OK
Documentos,Cartão de vacinação internacional (febre amarela),OK
Documentos,Reservas de hotel impressas/salvas offline,Pendente
Documentos,Reservas de ingressos com horário marcado,Pendente
Medicamentos,Protetor solar,Pendente
Medicamentos,Receita médica + bula dos remédios (dipirona não entra na bagagem),Pendente
Medicamentos,"Kit básico (analgésico permitido, curativos)",Pendente
Bagagem,Mala grande 20kg,OK
Bagagem,Mochila 40x30x15 (bagagem de mão),OK
Bagagem,Saquinho de vedação transparente p/ líquidos (20x20 cm),Pendente
Bagagem,Frascos até 100ml cada (máx. 1L somado),Pendente
Bagagem,Embalagens travel size,Pendente
Bagagem,Gancho para lacrar bolsa,Pendente
Eletrônicos,Adaptador de tomada (padrão europeu tipo C/F),Pendente
Eletrônicos,Power bank,Pendente
Eletrônicos,Chip/eSIM de internet internacional,OK
Financeiro,Cartão de crédito internacional (avisar banco da viagem),Pendente
Financeiro,Trocar euros (dinheiro vivo para pequenas despesas),Pendente
Financeiro,Verificar necessidade de lek (Albânia),Pendente
